home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
VAL,MAL,2008/2009,1,8/30/08 0:00,3,0,19435,34007,34029,37479,34008,32761,30666,2802,37459,41468,30909,33845,24131,33856,33849,33861,38160,37491,38398,37411,21414,25574
ESP,VAL,2008/2009,1,8/30/08 0:00,1,0,25563,28439,33768,,75196,18592,24099,32766,33872,32764,24852,96623,37597,33022,38065,2790,33820,33586,18395,38431,33729,39142
OSA,VIL,2008/2009,1,8/31/08 0:00,1,1,24591,72541,33865,11778,38521,42369,33870,38424,30907,33641,108809,41466,30279,56678,38458,40599,37436,38746,30958,38362,38551,31020
COR,REA,2008/2009,1,8/31/08 0:00,2,1,33018,111190,37451,41167,34104,37447,30271,33758,31045,37441,34956,30657,30962,25921,30670,28467,37259,32765,25759,30655,30834,34602
NUM,BAR,2008/2009,1,8/31/08 0:00,1,0,75195,75199,,38561,74435,102374,38008,74721,38550,,38526,32657,33988,30661,30740,30738,39854,36615,30955,30981,33639,30626
SAN,SEV,2008/2009,1,8/31/08 0:00,1,1,37579,33896,37581,80497,18664,38403,37512,32999,33892,35638,150644,33986,39562,33812,38138,33848,33991,34000,31014,33992,33989,34106
SPG,GET,2008/2009,1,8/31/08 0:00,1,2,38520,74743,75395,74739,74752,33887,78404,,74770,24383,41294,34382,37470,32675,37427,37468,52490,37471,30468,37461,37469,37474
BET,HUE,2008/2009,1,8/31/08 0:00,0,1,46531,30750,33655,37426,37422,42173,37666,25571,33665,30698,18164,33958,37434,42310,37440,37423,75474,74747,37448,38035,18628,102572
BIL,ALM,2008/2009,1,8/31/08 0:00,1,3,33764,33025,33027,33993,,96619,33024,37410,30277,33030,,96613,74403,74663,18501,37622,37419,75239,5243,38581,46384,75310
AMA,MAL,2008/2009,1,8/31/08 0:00,4,0,39989,37413,30839,30689,34103,33632,38492,25924,30663,37412,38460,33826,33843,5233,41707,38025,33666,38151,,37450,38479,43310
BAR,SAN,2008/2009,2,9/13/08 0:00,1,1,32657,33988,37482,30661,30738,39854,26146,154257,26169,33639,150250,37579,33896,37581,80497,18664,33634,37512,32999,33892,35638,38382
SEV,SPG,2008/2009,2,9/13/08 0:00,4,3,33986,39562,33812,38138,30866,33991,34000,95509,38139,33989,34969,38520,74743,23144,74739,74752,33887,78404,37425,24383,38004,34582
VAL,AMA,2008/2009,2,9/13/08 0:00,2,1,96623,37597,33022,43374,2790,38431,33586,18395,33820,33729,39142,39989,37413,33636,30689,34103,25924,38492,33632,30832,30663,38700
VIL,COR,2008/2009,2,9/14/08 0:00,1,0,41466,30279,38458,,40599,37436,30958,32043,38362,31020,38551,33018,111190,37451,34104,41167,30271,37793,37449,37447,34956,37445
REA,NUM,2008/2009,2,9/14/08 0:00,4,3,30657,30658,25921,30649,28467,37259,32765,30840,25759,30834,34602,75195,75199,,38561,74435,38008,38550,102374,,74721,38526
GET,BET,2008/2009,2,9/14/08 0:00,0,0,75390,37470,32675,37427,37468,37474,37471,30468,37461,37469,37506,46531,31303,30750,37667,37426,25571,33655,33665,34233,38578,18164
HUE,ESP,2008/2009,2,9/14/08 0:00,0,1,33958,37434,42310,37440,37423,75474,37448,74747,38035,18628,102572,25563,28439,33768,38385,75196,24099,33773,18592,32766,24852,32764
MAL,BIL,2008/2009,2,9/14/08 0:00,0,0,33826,33843,5233,41707,38025,33666,150491,37450,32763,38479,43310,33764,33025,33993,37604,154938,96619,150323,37410,33866,33030,30277
ALM,VAL,2008/2009,2,9/14/08 0:00,2,2,96613,74403,74663,18501,37622,37419,5243,75239,38581,46384,75310,19435,34007,34029,37479,34008,38701,30666,37824,2802,41468,30909
MAL,OSA,2008/2009,2,9/14/08 0:00,1,1,33845,24131,30276,33849,33861,37491,37631,37411,56686,33028,25574,24591,72541,11778,33874,38521,42369,33870,38424,30907,33641,108809
ESP,GET,2008/2009,3,9/20/08 0:00,1,1,25563,28439,33768,38385,75196,33773,24099,18592,37429,24852,32764,75390,37470,37427,32675,37468,52490,30468,37471,37461,37469,37474
AMA,HUE,2008/2009,3,9/20/08 0:00,4,0,39989,37413,30689,33636,32656,33632,33871,38492,30663,38700,37412,33958,,42310,37440,37423,75474,74747,37448,38035,18628,102572
SPG,BAR,2008/2009,3,9/21/08 0:00,1,6,38520,74743,75608,74739,74751,33887,74744,37425,38004,24383,34582,32657,33988,30740,30661,30738,39854,26146,154257,30981,33639,30955
NUM,VIL,2008/2009,3,9/21/08 0:00,1,2,75195,75199,,38561,74435,38008,,74721,102374,38550,38526,41466,30279,38458,56678,40599,37436,38746,30958,38362,38551,31020
COR,MAL,2008/2009,3,9/21/08 0:00,0,0,33018,111190,37451,34104,41167,37793,33758,37447,37441,31045,31010,33845,38160,33849,30276,33893,37631,31498,37491,21414,38398,33028
VAL,OSA,2008/2009,3,9/21/08 0:00,1,0,19435,34007,34029,37479,34008,30448,38701,37824,30909,41468,34231,24591,72541,11778,33865,38521,42369,26044,80555,37507,30907,37497
BET,SEV,2008/2009,3,9/21/08 0:00,0,0,46531,31303,33655,30750,37426,42173,38578,25571,33665,34233,18164,33986,70255,38138,33990,30866,33992,33759,31014,46295,33989,34106
SAN,REA,2008/2009,3,9/21/08 0:00,0,2,37579,33896,33828,80497,18664,33634,37512,32999,33892,33891,150644,30657,30962,25921,34520,30670,32765,37259,,25759,34602,30655
ALM,MAL,2008/2009,3,9/21/08 0:00,1,0,96613,74403,74663,18501,37622,37419,5243,75239,38581,46384,75310,33826,33843,5233,41707,38025,33666,150491,37450,32763,38479,43310
BIL,VAL,2008/2009,3,9/21/08 0:00,2,0,33764,33025,33993,37604,154938,96619,37410,33024,33866,96620,33030,96623,43374,33022,37672,2790,38431,33586,18395,33820,33729,56867
OSA,COR,2008/2009,4,9/24/08 0:00,0,0,24591,38534,11778,33865,38521,33870,42369,38424,30744,30907,37497,33018,150328,34104,37451,41167,30271,33758,37445,37449,31045,37452
VIL,SAN,2008/2009,4,9/24/08 0:00,2,0,41466,38458,56678,40599,33733,38746,30958,37478,37436,37477,38551,37579,33634,33896,80497,37581,33637,18664,33892,150647,37512,38382
REA,SPG,2008/2009,4,9/24/08 0:00,7,1,30657,41470,25921,34520,28467,,37259,30840,30834,25759,30655,38520,74751,75395,23144,74752,33611,78404,,74770,37425,41294
BAR,BET,2008/2009,4,9/24/08 0:00,3,2,32657,33988,96616,30740,30738,39854,36615,26146,30981,33639,30955,46531,31303,33655,30750,37426,42173,33665,38578,25571,34233,22234
