home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,past_perf_home,past_perf_away,home_player_avg,away_player_avg
VAL,MAL,2008/2009,1,8/30/08 0:00,3,0,72.33333333,77.75,80.73076923,76.16666667,74.96296296,79.6,77.33333333,76.31818182,86.53846154,83.58823529,84.29166667,76.08695652,70.71428571,72.93103448,74.875,68.23076923,71.52941176,71.77777778,76.3,76.08,72,75.08695652,0,0,27646.72727,30219.63636
ESP,VAL,2008/2009,1,8/30/08 0:00,1,0,78.22727273,73.05555556,75.33333333,0,64,68.61111111,70.57142857,79.5,72.89473684,72.9047619,74.125,76.82608696,72.16129032,71.28571429,74.5,70.2,71.8,72.48,66.90909091,71.78947368,72.5,70.09756098,0,0,,33278
OSA,VIL,2008/2009,1,8/31/08 0:00,1,1,74,75.07692308,73.55,69.57142857,76.21212121,75.63636364,73.42857143,77.94444444,74.79310345,72.66666667,70.48,81.24,70.71428571,80.13636364,79.47368421,73.80952381,83.28205128,71.78947368,79.76923077,77.53846154,73.4,75,0,0,32773.36364,35593.90909
COR,REA,2008/2009,1,8/31/08 0:00,2,1,76.625,70.6,74.77272727,79.66666667,73.10526316,66.80769231,69.15,70.71428571,79.17647059,76.77272727,74.8,86.95454545,85.78947368,83.52941176,77.33333333,79.80952381,77.93333333,82.5,83.44444444,80.7,87.84,82.5,0,0,38808.36364,27631.72727
NUM,BAR,2008/2009,1,8/31/08 0:00,1,0,71.14285714,66.92307692,0,68.5,69.05555556,65.5,66.52941176,67.14285714,74.03846154,0,70.2,83.63636364,84.2,85.88888889,76.42857143,79.52631579,87.63636364,85.02702703,88.32,92.19230769,83.77777778,79.45833333,0,0,,30075.27273
SAN,SEV,2008/2009,1,8/31/08 0:00,1,1,74.44444444,72,80.93333333,72.82758621,65.82608696,73.45454545,76.1,72.59090909,70.90909091,78.7,71.59259259,77.76923077,74.93548387,75.7,64.5,75,83.20588235,72.36666667,74.76923077,77.25925926,81.5,81.72,0,0,35151,31484.72727
SPG,GET,2008/2009,1,8/31/08 0:00,1,2,69,66.11111111,68.88235294,64.66666667,70.36,68,71.29411765,0,65.625,74.52631579,72.68571429,80.42857143,70.75,77.65625,73.72222222,68.36,71.36842105,73,74.8,75.25,72.82608696,74.51851852,0,0,,34071
BET,HUE,2008/2009,1,8/31/08 0:00,0,1,69.91304348,75.88888889,68.11111111,64.375,71.12,74.625,65.77272727,75,71.28571429,70.83333333,71.26086957,71.82352941,67.89655172,74,71.15789474,64.6,74.18181818,75.83333333,69.36842105,68.875,71.43243243,71.92307692,0,0,32323.36364,39354.27273
BIL,ALM,2008/2009,1,8/31/08 0:00,1,3,76.92,77.76666667,68.61111111,74.2,0,77.38461538,74.91666667,81.2,79.16666667,80.61904762,0,79.38095238,69.02941176,73.88888889,69.22222222,69.66666667,70,69.75,69.96153846,68.84615385,76.71428571,81.27027027,0,0,,45878.90909
AMA,MAL,2008/2009,1,8/31/08 0:00,4,0,81.16666667,73.18181818,76.67857143,79,73.8,77.96875,79.22222222,75.92307692,79.3125,86.11428571,81.63636364,68.28571429,75.85185185,68.33333333,74.60869565,72.22222222,67.85714286,69.73076923,0,74.10714286,70.375,65.5,0,0,30832.36364,
BAR,SAN,2008/2009,2,9/13/08 0:00,1,1,83.63636364,84.2,83.57142857,85.88888889,79.52631579,87.63636364,78.38461538,81.44,77.23076923,83.77777778,80.40909091,74.44444444,72,80.93333333,72.82758621,65.82608696,73.63157895,76.1,72.59090909,70.90909091,78.7,73,0,1,40508.27273,34717.45455
